Genome,File_type,Sequence_type,Number_of_sequences,Size,min,mean,max
GCF_008271745.1,FASTA,Protein,4280,1477731,30,345.3,3825
GCF_008271805.1,FASTA,Protein,6826,2192565,21,321.2,5253
GCF_008274215.1,FASTA,Protein,2623,763201,23,291,2093
GCF_008274585.1,FASTA,Protein,4102,1418371,30,345.8,5457
GCF_008274625.1,FASTA,Protein,4470,1469050,23,328.6,8938
GCF_008274655.1,FASTA,Protein,2892,852014,20,294.6,1924
GCF_008274695.1,FASTA,Protein,4078,1254193,26,307.6,3143
GCF_008274785.1,FASTA,Protein,3591,1146672,25,319.3,2487
GCF_008274805.1,FASTA,Protein,3120,1045870,30,335.2,2275
GCF_008274825.1,FASTA,Protein,3847,1322200,26,343.7,1948
GCF_008275125.1,FASTA,Protein,3938,1261279,30,320.3,8417
GCF_008281175.1,FASTA,Protein,3591,1154537,30,321.5,3365
GCF_008297955.1,FASTA,Protein,4037,1313386,30,325.3,8705
GCF_008297975.1,FASTA,Protein,5455,1756191,20,321.9,8731
GCF_008298015.1,FASTA,Protein,4302,1376320,20,319.9,2908
GCF_008298035.1,FASTA,Protein,6001,2266408,30,377.7,12615
GCF_008304605.1,FASTA,Protein,4370,1275497,26,291.9,2385
GCF_008312835.1,FASTA,Protein,6915,2324273,26,336.1,7786
GCF_008312885.1,FASTA,Protein,3157,1046057,30,331.3,11173
GCF_008312895.1,FASTA,Protein,3797,1286446,22,338.8,2924
GCF_008312935.1,FASTA,Protein,5871,2307408,21,393,13178
GCF_008326305.1,FASTA,Protein,5906,1977210,20,334.8,7659
GCF_008326345.1,FASTA,Protein,2579,774669,30,300.4,1582
GCF_008327685.1,FASTA,Protein,8799,2868818,30,326,5525
GCF_008327825.1,FASTA,Protein,1969,606110,31,307.8,3639
GCF_008329435.1,FASTA,Protein,3468,1188740,21,342.8,12346
GCF_008329525.1,FASTA,Protein,5806,1794792,30,309.1,4485
GCF_008329535.1,FASTA,Protein,6457,2077274,25,321.7,7555
GCF_008329565.1,FASTA,Protein,5179,1688117,30,326,6241
GCF_008329585.1,FASTA,Protein,6552,2114537,22,322.7,7480
GCF_008329605.1,FASTA,Protein,6942,2233174,23,321.7,7612
GCF_008329645.1,FASTA,Protein,5374,1744341,30,324.6,4573
GCF_008329705.1,FASTA,Protein,4069,1281044,26,314.8,2366
GCF_008329715.1,FASTA,Protein,5943,2232323,25,375.6,6721
GCF_008329905.1,FASTA,Protein,6272,1999098,30,318.7,4154
GCF_008329925.1,FASTA,Protein,3902,1353987,30,347,4757
GCF_008329945.1,FASTA,Protein,3410,1134502,30,332.7,6888
GCF_008329965.1,FASTA,Protein,3587,1229251,28,342.7,3880
GCF_008329985.2,FASTA,Protein,4288,1443170,30,336.6,3838
GCF_008330225.1,FASTA,Protein,3854,1197525,30,310.7,2555
GCF_008330945.1,FASTA,Protein,6853,2180753,30,318.2,3643
GCF_008360935.1,FASTA,Protein,5842,1895398,24,324.4,4903
GCF_008362905.1,FASTA,Protein,2487,772339,30,310.6,1563
GCF_008364555.1,FASTA,Protein,4260,1374180,30,322.6,6002
GCF_008364625.1,FASTA,Protein,4205,1357472,24,322.8,6002
GCF_008364685.1,FASTA,Protein,4746,1558091,24,328.3,3204
GCF_008364765.1,FASTA,Protein,4892,1373678,21,280.8,2519
GCF_008364795.1,FASTA,Protein,5996,1991782,23,332.2,5462
GCF_008364825.1,FASTA,Protein,6651,2195535,23,330.1,6010
GCF_008364845.1,FASTA,Protein,3651,1220293,30,334.2,2084
GCF_008364955.1,FASTA,Protein,7048,2374167,23,336.9,6589
GCF_008365275.1,FASTA,Protein,2397,792679,30,330.7,9624
GCF_008365295.1,FASTA,Protein,3424,1167883,31,341.1,3215
GCF_008365315.1,FASTA,Protein,2801,914852,30,326.6,1709
GCF_008365375.1,FASTA,Protein,6111,2005336,22,328.2,5958
GCF_008365385.1,FASTA,Protein,3753,1248834,22,332.8,2097
GCF_008365405.1,FASTA,Protein,6252,2034324,25,325.4,5949
GCF_008367235.1,FASTA,Protein,4197,1468516,30,349.9,4565
GCF_008368715.1,FASTA,Protein,2581,859309,21,332.9,1601
GCF_008369065.1,FASTA,Protein,7834,2534556,22,323.5,8535
GCF_008369105.1,FASTA,Protein,4537,1350108,20,297.6,2151
GCF_008369115.1,FASTA,Protein,2607,863126,31,331.1,3131
GCF_008369165.1,FASTA,Protein,3032,1000609,31,330,3145
GCF_008369195.1,FASTA,Protein,4511,1263664,25,280.1,1766
GCF_008369295.1,FASTA,Protein,5870,1806185,20,307.7,6927
GCF_008369325.1,FASTA,Protein,5846,1845012,20,315.6,4328
GCF_008369405.1,FASTA,Protein,1996,600879,30,301,2275
GCF_008369445.1,FASTA,Protein,3692,1195333,31,323.8,2154
GCF_008369545.1,FASTA,Protein,5109,1594390,25,312.1,6183
GCF_008369915.1,FASTA,Protein,5902,2113501,20,358.1,2808
GCF_008369935.1,FASTA,Protein,10179,2985651,20,293.3,2872
GCF_008370045.1,FASTA,Protein,6517,2103769,20,322.8,4526
GCF_008370255.1,FASTA,Protein,3854,1274732,31,330.8,3850
GCF_008370325.1,FASTA,Protein,5949,1836696,22,308.7,4220
GCF_008370345.1,FASTA,Protein,3922,1293599,21,329.8,2538
GCF_008370495.1,FASTA,Protein,3962,1350688,23,340.9,2099
GCF_008370645.1,FASTA,Protein,5658,1699393,20,300.4,5317
GCF_008370685.1,FASTA,Protein,5797,1959110,20,338,6600
GCF_008373755.1,FASTA,Protein,4518,1488620,21,329.5,3546
GCF_008373765.1,FASTA,Protein,4182,1286072,25,307.5,2528
GCF_008386235.1,FASTA,Protein,2571,810061,30,315.1,1915
GCF_008386315.1,FASTA,Protein,3418,1022698,30,299.2,1770
GCF_008386395.1,FASTA,Protein,6447,2166969,30,336.1,6692
GCF_008386465.1,FASTA,Protein,2452,812931,24,331.5,2206
GCF_008386495.1,FASTA,Protein,9121,2898509,22,317.8,6335
GCF_008386505.1,FASTA,Protein,4446,1452784,24,326.8,3403
GCF_008386565.1,FASTA,Protein,4319,1397905,22,323.7,2459
GCF_008386575.1,FASTA,Protein,5197,1536849,20,295.7,2109
GCF_008386585.1,FASTA,Protein,8459,2762410,20,326.6,7198
GCF_008386635.1,FASTA,Protein,3791,1305958,30,344.5,4851
GCF_008386695.1,FASTA,Protein,6762,2487363,20,367.8,8220
GCF_008477545.1,FASTA,Protein,3823,1268405,24,331.8,3868
GCF_008520265.1,FASTA,Protein,3691,1220635,20,330.7,2318
GCF_008520305.1,FASTA,Protein,6912,2067855,25,299.2,4100
GCF_008580665.1,FASTA,Protein,2934,970189,25,330.7,1789
GCF_008629655.1,FASTA,Protein,3223,994227,30,308.5,3667
GCF_008629675.1,FASTA,Protein,5981,2377624,22,397.5,11898
GCF_008629685.1,FASTA,Protein,5281,1825399,30,345.7,2416
GCF_008629695.1,FASTA,Protein,3715,1249919,30,336.5,3658
GCF_008630065.1,FASTA,Protein,3374,1076179,21,319,4126
GCF_008630155.1,FASTA,Protein,6464,2092645,20,323.7,3098
GCF_008630495.1,FASTA,Protein,2713,876266,23,323,2106
GCF_008630535.1,FASTA,Protein,6830,2220380,26,325.1,9425
GCF_008630635.1,FASTA,Protein,3320,1090256,28,328.4,8050
GCF_008630915.1,FASTA,Protein,3069,990166,30,322.6,5179
GCF_008630935.1,FASTA,Protein,1763,566512,31,321.3,2239
GCF_008632075.1,FASTA,Protein,4658,1428743,24,306.7,6002
GCF_008632125.1,FASTA,Protein,5025,1679783,21,334.3,2478
GCF_008632335.1,FASTA,Protein,3803,1261249,25,331.6,5301
GCF_008632455.1,FASTA,Protein,3975,1346159,30,338.7,8625
GCF_008632955.1,FASTA,Protein,6743,2107458,30,312.5,2541
GCF_008633215.1,FASTA,Protein,1924,616705,22,320.5,3523
GCF_008633915.1,FASTA,Protein,1742,487779,22,280,1516
GCF_008634025.1,FASTA,Protein,7855,2666469,30,339.5,9471
GCF_008635795.1,FASTA,Protein,5812,1949019,22,335.3,5571
GCF_008636115.1,FASTA,Protein,1783,544514,24,305.4,4246
GCF_008638305.1,FASTA,Protein,3896,1250869,22,321.1,2147
GCF_008638345.1,FASTA,Protein,3988,1308217,26,328,2118
GCF_008638365.1,FASTA,Protein,5186,1691518,24,326.2,3076
GCF_008639165.1,FASTA,Protein,7326,2458416,30,335.6,4991
GCF_008641065.1,FASTA,Protein,2868,944189,21,329.2,5599
GCF_008641105.1,FASTA,Protein,3869,1298300,28,335.6,5362
GCF_008642275.1,FASTA,Protein,6772,2285332,30,337.5,11476
GCF_008642295.1,FASTA,Protein,6619,2237248,30,338,6482
GCF_008642315.1,FASTA,Protein,7807,2654200,30,340,5864
GCF_008642335.1,FASTA,Protein,7082,2416254,30,341.2,6582
GCF_008642355.1,FASTA,Protein,7157,2394073,30,334.5,6606
GCF_008692195.1,FASTA,Protein,3624,1228771,24,339.1,3478
GCF_008692605.1,FASTA,Protein,4348,1360912,23,313,1727
GCF_008692785.1,FASTA,Protein,4578,1436917,22,313.9,7148
GCF_008692845.1,FASTA,Protein,4208,1298431,22,308.6,3834
GCF_008693005.1,FASTA,Protein,1815,600017,30,330.6,2886
GCF_008693065.1,FASTA,Protein,2312,691991,21,299.3,2772
GCF_008693105.1,FASTA,Protein,2509,812452,22,323.8,3020
GCF_008693185.1,FASTA,Protein,2911,925334,27,317.9,2048
GCF_008693385.1,FASTA,Protein,6342,2127638,30,335.5,3708
GCF_008698145.1,FASTA,Protein,2383,863987,23,362.6,3153
GCF_008698235.1,FASTA,Protein,2563,881561,30,344,3151
GCF_008704205.1,FASTA,Protein,9178,2985002,23,325.2,8386
GCF_008704395.1,FASTA,Protein,6852,2358201,30,344.2,7209
GCF_008704425.1,FASTA,Protein,5729,1910842,30,333.5,4619
GCF_008704495.1,FASTA,Protein,8698,3017946,30,347,8225
GCF_008704515.1,FASTA,Protein,6442,2096923,23,325.5,7202
GCF_008704535.1,FASTA,Protein,6699,2221514,30,331.6,5210
GCF_008704555.1,FASTA,Protein,6658,2181663,30,327.7,4850
GCF_008704655.1,FASTA,Protein,8130,2712821,30,333.7,9474
GCF_008704715.1,FASTA,Protein,8582,2959070,30,344.8,12965
GCF_008704795.1,FASTA,Protein,8217,2891865,30,351.9,7317
GCF_008704855.1,FASTA,Protein,7371,2438797,30,330.9,7070
GCF_008704935.1,FASTA,Protein,6886,2257755,30,327.9,6080
GCF_008704995.1,FASTA,Protein,6812,2238395,31,328.6,9511
GCF_008705135.1,FASTA,Protein,8348,2757848,30,330.4,6041
GCF_008710035.1,FASTA,Protein,3721,1244587,24,334.5,5019
GCF_008710095.1,FASTA,Protein,5159,1637872,20,317.5,2872
GCF_008710135.1,FASTA,Protein,3862,1263291,29,327.1,3716
GCF_008710145.1,FASTA,Protein,5426,1581758,24,291.5,2337
GCF_008710155.1,FASTA,Protein,4796,1518908,22,316.7,4525
GCF_008710275.1,FASTA,Protein,3812,1184218,27,310.7,8884
GCF_008710285.1,FASTA,Protein,4679,1614277,23,345,3097
GCF_008710705.1,FASTA,Protein,2911,979267,30,336.4,2626
GCF_008710745.1,FASTA,Protein,3902,1282715,30,328.7,10859
GCF_008711155.1,FASTA,Protein,4126,1317481,21,319.3,1850
GCF_008711175.1,FASTA,Protein,3591,1123163,20,312.8,2427
GCF_008711285.1,FASTA,Protein,4090,1301774,24,318.3,2889
GCF_008711325.1,FASTA,Protein,4716,1490564,23,316.1,2239
GCF_008711465.1,FASTA,Protein,2533,794524,26,313.7,4270
GCF_008711525.1,FASTA,Protein,2270,743902,21,327.7,2832
GCF_008725655.1,FASTA,Protein,3041,1067517,32,351,2915
GCF_008726925.1,FASTA,Protein,1904,617720,21,324.4,3317
GCF_008727115.1,FASTA,Protein,3741,1204571,30,322,4377
GCF_008727715.1,FASTA,Protein,5674,1776264,33,313.1,3407
GCF_008727735.1,FASTA,Protein,2706,860368,30,317.9,1864
GCF_008727755.1,FASTA,Protein,3032,998841,32,329.4,5679
GCF_008727775.1,FASTA,Protein,3517,1114392,30,316.9,2179
GCF_008727795.1,FASTA,Protein,3864,1272190,30,329.2,6191
GCF_008727865.1,FASTA,Protein,4142,1434569,30,346.3,3025
GCF_008727875.1,FASTA,Protein,6309,2353091,29,373,2480
GCF_008727925.1,FASTA,Protein,3966,1387221,22,349.8,4588
GCF_008728195.1,FASTA,Protein,5955,1862105,30,312.7,3198
GCF_008728635.1,FASTA,Protein,3765,1297171,30,344.5,2821
GCF_008728835.1,FASTA,Protein,5178,1743408,31,336.7,5654
GCF_008728855.1,FASTA,Protein,5317,1743588,32,327.9,4951
GCF_008728965.1,FASTA,Protein,2688,925718,21,344.4,2482
GCF_008757455.1,FASTA,Protein,5001,1541154,22,308.2,3190
GCF_008761635.1,FASTA,Protein,3868,1228415,30,317.6,2087
GCF_008763945.1,FASTA,Protein,3148,1014465,30,322.3,1982
GCF_008764245.1,FASTA,Protein,4413,1288847,24,292.1,2761
GCF_008764295.1,FASTA,Protein,3635,1024324,22,281.8,1464
GCF_008795955.1,FASTA,Protein,4526,1499355,21,331.3,2852
GCF_008795985.1,FASTA,Protein,3462,1169852,30,337.9,2508
GCF_008801285.1,FASTA,Protein,4025,1301314,24,323.3,5861
GCF_008801405.1,FASTA,Protein,5309,1708567,30,321.8,4116
GCF_008801475.1,FASTA,Protein,5987,1903486,27,317.9,2520
GCF_008801575.1,FASTA,Protein,4968,1529371,20,307.8,3398
GCF_008801605.1,FASTA,Protein,5948,1976819,24,332.4,4649
GCF_008801695.1,FASTA,Protein,5310,1411226,22,265.8,2519
GCF_008801715.1,FASTA,Protein,3378,1083660,30,320.8,4070
GCF_008801835.1,FASTA,Protein,5919,1879132,22,317.5,3196
GCF_008801845.1,FASTA,Protein,4250,1385885,25,326.1,2152
GCF_008801855.1,FASTA,Protein,2168,609244,20,281,2882
GCF_008801915.1,FASTA,Protein,5239,1706407,22,325.7,3221
GCF_008801925.2,FASTA,Protein,8087,2579053,30,318.9,4539
GCF_008801935.1,FASTA,Protein,3250,1038124,27,319.4,3384
GCF_008802355.1,FASTA,Protein,3343,1065146,31,318.6,2622
GCF_008802365.1,FASTA,Protein,3356,1069735,22,318.8,2952
GCF_008802405.1,FASTA,Protein,4625,1436373,22,310.6,2385
GCF_008805035.1,FASTA,Protein,1961,544941,31,277.9,1825
GCF_008806325.1,FASTA,Protein,2757,968651,30,351.3,3561
GCF_008806345.1,FASTA,Protein,5577,1656824,21,297.1,2479
GCF_008806375.1,FASTA,Protein,2916,986882,26,338.4,4678
GCF_008806385.1,FASTA,Protein,6482,1839274,21,283.8,3271
GCF_008806755.1,FASTA,Protein,3697,1184938,24,320.5,3613
GCF_008806775.1,FASTA,Protein,2862,1022851,33,357.4,3897
GCF_008806955.1,FASTA,Protein,3768,1344542,30,356.8,2970
GCF_008806975.1,FASTA,Protein,4826,1724846,31,357.4,13569
GCF_008807015.1,FASTA,Protein,2200,680485,30,309.3,3456
GCF_008807035.1,FASTA,Protein,4076,1142818,30,280.4,1930
GCF_008807075.1,FASTA,Protein,2925,910090,30,311.1,11377
GCF_008807375.1,FASTA,Protein,5445,1787339,30,328.3,4322
GCF_008807395.1,FASTA,Protein,2973,941111,32,316.6,2397
GCF_008807415.1,FASTA,Protein,6494,2032072,30,312.9,4721
GCF_008808095.1,FASTA,Protein,3792,1237026,28,326.2,2864
GCF_008824145.1,FASTA,Protein,8371,2745670,30,328,4852
GCF_008824185.1,FASTA,Protein,4274,1320058,31,308.9,2783
GCF_008828755.2,FASTA,Protein,1069,336652,31,314.9,2163
GCF_008830185.1,FASTA,Protein,3764,1216485,22,323.2,2590
GCF_008830225.1,FASTA,Protein,3092,1006990,30,325.7,2809
GCF_008830365.1,FASTA,Protein,4673,1494429,30,319.8,3271
GCF_008831035.1,FASTA,Protein,2147,714488,25,332.8,2272
GCF_008831045.1,FASTA,Protein,2285,808556,23,353.9,24640
GCF_008831075.1,FASTA,Protein,3564,1180532,30,331.2,3500
GCF_008831085.1,FASTA,Protein,2888,988183,32,342.2,1792
GCF_008831125.1,FASTA,Protein,1756,612063,30,348.6,2203
GCF_008831155.1,FASTA,Protein,2922,981070,23,335.8,2130
GCF_008831235.1,FASTA,Protein,2030,710011,21,349.8,1977
GCF_008831265.1,FASTA,Protein,3997,1349060,31,337.5,11768
GCF_008831305.1,FASTA,Protein,3022,1028906,20,340.5,1648
GCF_008831505.1,FASTA,Protein,2582,822369,30,318.5,2345
GCF_008838325.1,FASTA,Protein,2701,843614,30,312.3,2437
GCF_008843145.1,FASTA,Protein,5423,1714365,30,316.1,8379
GCF_008843165.1,FASTA,Protein,3233,1068700,32,330.6,2026
GCF_008868005.1,FASTA,Protein,3483,1124310,30,322.8,2025
GCF_008868155.1,FASTA,Protein,6505,1971833,20,303.1,2829
GCF_008868175.1,FASTA,Protein,6202,1908850,20,307.8,3989
GCF_008905045.1,FASTA,Protein,10853,3453113,22,318.2,4704
GCF_008919445.1,FASTA,Protein,3244,1085328,31,334.6,1905
GCF_008923185.1,FASTA,Protein,9966,3139646,20,315,5159
GCF_008923205.2,FASTA,Protein,9253,2965204,20,320.5,4029
GCF_008923245.1,FASTA,Protein,5191,1479454,22,285,1787
GCF_008923365.1,FASTA,Protein,10215,3193158,20,312.6,4037
GCF_008923725.1,FASTA,Protein,5510,1508082,30,273.7,3364
GCF_008929045.1,FASTA,Protein,6042,1903889,24,315.1,3013
GCF_008930665.1,FASTA,Protein,2111,728166,26,344.9,3025
GCF_008931805.1,FASTA,Protein,4131,1352324,31,327.4,2722
GCF_008931845.1,FASTA,Protein,1021,320437,31,313.8,2163
GCF_008932115.1,FASTA,Protein,7104,2161737,30,304.3,5444
GCF_008932245.1,FASTA,Protein,5743,1775338,30,309.1,3045
GCF_008932295.1,FASTA,Protein,5181,1528094,20,294.9,4247
GCF_008932435.1,FASTA,Protein,4329,1296625,21,299.5,2865
GCF_008933115.1,FASTA,Protein,2889,983932,30,340.6,3988
GCF_008933155.1,FASTA,Protein,3442,1138632,30,330.8,9037
GCF_008933165.1,FASTA,Protein,3028,1032169,21,340.9,4452
GCF_008933955.1,FASTA,Protein,2804,879963,25,313.8,2351
GCF_008935055.1,FASTA,Protein,3206,1063670,30,331.8,5067
GCF_008935075.1,FASTA,Protein,3735,1081841,30,289.6,3172
GCF_008973465.1,FASTA,Protein,7075,2302377,30,325.4,6190
GCF_008973485.1,FASTA,Protein,4144,1161565,30,280.3,3343
GCF_008973665.1,FASTA,Protein,5580,1841110,30,329.9,3580
GCF_008973715.1,FASTA,Protein,2897,965437,20,333.3,3316
GCF_008973755.1,FASTA,Protein,3666,1237285,26,337.5,2119
GCF_008973825.1,FASTA,Protein,4069,1268316,23,311.7,3733
GCF_008974145.1,FASTA,Protein,3751,1077015,20,287.1,2046
GCF_008974185.1,FASTA,Protein,3195,888501,23,278.1,1573
GCF_008974245.1,FASTA,Protein,6706,2292455,30,341.9,8016
GCF_008974265.1,FASTA,Protein,6640,2034268,30,306.4,8256
GCF_008974285.1,FASTA,Protein,4453,1530688,30,343.7,2410
GCF_008974325.1,FASTA,Protein,3218,1080225,30,335.7,2687
GCF_008993995.1,FASTA,Protein,3114,898242,20,288.5,4820
GCF_009014635.1,FASTA,Protein,3022,1010643,22,334.4,3063
GCF_009017255.1,FASTA,Protein,3185,944211,22,296.5,2846
GCF_009017275.1,FASTA,Protein,3038,886386,20,291.8,2849
GCF_009017495.1,FASTA,Protein,3741,1179063,30,315.2,3324
GCF_009026825.1,FASTA,Protein,2057,695108,30,337.9,1666
GCF_009068765.1,FASTA,Protein,2446,725565,30,296.6,1507
GCF_009069125.1,FASTA,Protein,592,189286,27,319.7,1412
GCF_009078285.1,FASTA,Protein,2101,781526,27,372,3424
GCF_009176265.1,FASTA,Protein,7074,2324291,30,328.6,6678
GCF_009176645.1,FASTA,Protein,4144,1335431,30,322.3,3626
GCF_009176705.1,FASTA,Protein,3975,1404656,32,353.4,7206
GCF_009176725.1,FASTA,Protein,5092,1766028,30,346.8,9458
GCF_009176975.1,FASTA,Protein,4742,1452026,28,306.2,2357
GCF_009177065.1,FASTA,Protein,5583,2048412,30,366.9,4294
GCF_009177095.1,FASTA,Protein,5592,1956413,30,349.9,8055
GCF_009183365.2,FASTA,Protein,4324,1436629,30,332.2,4748
GCF_009183415.1,FASTA,Protein,4978,1404102,30,282.1,3528
GCF_009183655.1,FASTA,Protein,3781,1106859,30,292.7,1531
GCF_009183815.1,FASTA,Protein,2472,793131,21,320.8,2521
GCF_009184395.1,FASTA,Protein,3148,955866,31,303.6,2338
GCF_009184425.1,FASTA,Protein,3812,1236034,21,324.2,4772
GCF_009184635.1,FASTA,Protein,5382,2010199,21,373.5,5107
GCF_009184865.1,FASTA,Protein,8998,2966554,30,329.7,5515
GCF_009184895.1,FASTA,Protein,4134,1363759,22,329.9,2358
GCF_009184905.1,FASTA,Protein,3487,1113340,30,319.3,2855
GCF_009189165.1,FASTA,Protein,5645,1840915,30,326.1,3792
GCF_009192725.1,FASTA,Protein,4806,1340574,22,278.9,2832
GCF_009192735.1,FASTA,Protein,3459,1121677,32,324.3,1831
GCF_009192745.1,FASTA,Protein,3267,1079368,30,330.4,5071
GCF_009192765.1,FASTA,Protein,4730,1668727,27,352.8,3022
GCF_009192775.1,FASTA,Protein,3248,1064069,28,327.6,1943
GCF_009192945.1,FASTA,Protein,4325,1535268,21,355,6242
GCF_009192995.1,FASTA,Protein,2163,660577,27,305.4,4504
GCF_009193135.1,FASTA,Protein,3130,1058707,25,338.2,2790
GCF_009193155.1,FASTA,Protein,3832,1285410,25,335.4,2083
GCF_009193175.1,FASTA,Protein,4001,1317999,32,329.4,2078
GCF_009193185.1,FASTA,Protein,4300,1385980,22,322.3,3010
GCF_009193215.1,FASTA,Protein,2652,973058,25,366.9,4680
GCF_009193255.1,FASTA,Protein,3270,1072821,30,328.1,2121
GCF_009193265.1,FASTA,Protein,4001,1300379,28,325,3271
GCF_009193295.2,FASTA,Protein,4405,1738951,30,394.8,1990
GCF_009193305.1,FASTA,Protein,1887,691318,30,366.4,3158
GCF_009193325.2,FASTA,Protein,4252,1619080,30,380.8,2225
GCF_009193355.1,FASTA,Protein,2156,847380,20,393,3157
GCF_009208075.1,FASTA,Protein,3051,913627,20,299.5,1524
GCF_009208105.1,FASTA,Protein,4819,1556565,30,323,3085
GCF_009208555.1,FASTA,Protein,5685,1938474,21,341,4556
GCF_009208565.1,FASTA,Protein,4996,1720146,21,344.3,4641
GCF_009208585.1,FASTA,Protein,2905,1016685,32,350,4410
GCF_009208735.1,FASTA,Protein,5646,1907186,25,337.8,6757
GCF_009208775.1,FASTA,Protein,3420,1179778,23,345,3945
GCF_009223885.1,FASTA,Protein,3675,1179943,33,321.1,2857
GCF_009258225.1,FASTA,Protein,2394,761820,31,318.2,1983
GCF_009268075.1,FASTA,Protein,435,133223,33,306.3,1421
GCF_009268105.1,FASTA,Protein,433,130463,31,301.3,1513
GCF_009295515.1,FASTA,Protein,3968,1217288,24,306.8,2935
GCF_009295635.1,FASTA,Protein,2769,900738,21,325.3,7230
GCF_009295725.1,FASTA,Protein,3541,1145328,20,323.4,4520
GCF_009295825.1,FASTA,Protein,4086,1461548,25,357.7,4102
GCF_009296025.1,FASTA,Protein,6968,2439035,28,350,27582
GCF_009296165.1,FASTA,Protein,5596,1736104,20,310.2,4304
GCF_009296185.1,FASTA,Protein,2264,739615,22,326.7,2674
GCF_009296265.1,FASTA,Protein,4238,1317218,20,310.8,13119
GCF_009296285.1,FASTA,Protein,4427,1455792,31,328.8,3091
GCF_009299475.1,FASTA,Protein,2082,761944,22,366,3165
GCF_009299485.1,FASTA,Protein,1880,683228,24,363.4,3144
GCF_009299505.1,FASTA,Protein,2272,864009,22,380.3,3236
GCF_009299795.1,FASTA,Protein,3528,1201660,22,340.6,3532
GCF_009299835.1,FASTA,Protein,6256,2049561,21,327.6,2651
GCF_009301415.1,FASTA,Protein,4207,1279050,25,304,2813
GCF_009362725.1,FASTA,Protein,1524,448810,24,294.5,1904
GCF_009362735.1,FASTA,Protein,9577,2794062,25,291.7,3911
GCF_009362785.1,FASTA,Protein,8389,2535760,27,302.3,3217
GCF_009362815.1,FASTA,Protein,3331,988415,22,296.7,2872
GCF_009362845.1,FASTA,Protein,1978,642219,27,324.7,3125
GCF_009363055.1,FASTA,Protein,2837,865625,22,305.1,3528
GCF_009363075.1,FASTA,Protein,6245,2032412,30,325.4,4052
GCF_009363095.1,FASTA,Protein,6659,2132163,31,320.2,6101
GCF_009363115.1,FASTA,Protein,5417,1584093,30,292.4,8985
GCF_009363155.1,FASTA,Protein,4917,1524202,30,310,3426
GCF_009363175.1,FASTA,Protein,5575,1709958,30,306.7,4334
GCF_009363255.1,FASTA,Protein,4028,1264050,30,313.8,6121
GCF_009363415.1,FASTA,Protein,4034,1307023,30,324,9230
GCF_009363435.1,FASTA,Protein,6003,1895335,25,315.7,7634
GCF_009363535.1,FASTA,Protein,4258,1350490,26,317.2,8869
GCF_009363555.1,FASTA,Protein,4125,1284881,31,311.5,2150
GCF_009363615.1,FASTA,Protein,4518,1400022,30,309.9,3289
GCF_009363635.1,FASTA,Protein,3070,987943,31,321.8,4376
GCF_009363655.1,FASTA,Protein,4389,1325511,30,302,1814
GCF_009363695.1,FASTA,Protein,4159,1157839,30,278.4,3506
GCF_009363715.1,FASTA,Protein,4486,1363800,23,304,4307
GCF_009363755.1,FASTA,Protein,3401,1133535,30,333.3,5600
GCF_009363795.1,FASTA,Protein,3344,1020858,30,305.3,5845
GCF_009363855.1,FASTA,Protein,3565,1125939,32,315.8,3013
GCF_009363895.1,FASTA,Protein,2914,921731,30,316.3,2214
GCF_009371885.1,FASTA,Protein,2314,784043,26,338.8,3155
GCF_009371975.2,FASTA,Protein,2641,833404,20,315.6,3242
GCF_009372215.1,FASTA,Protein,2782,839490,20,301.8,3641
GCF_009372235.1,FASTA,Protein,4000,1322180,21,330.5,6797
GCF_009372255.1,FASTA,Protein,3281,1002957,30,305.7,2494
GCF_009377175.1,FASTA,Protein,9230,2938764,20,318.4,5577
GCF_009377195.2,FASTA,Protein,3325,1074465,27,323.1,6141
GCF_009377205.1,FASTA,Protein,9247,2984107,22,322.7,3673
GCF_009377235.1,FASTA,Protein,9256,2971156,20,321,7397
GCF_009377345.1,FASTA,Protein,3488,1044322,25,299.4,3545
GCF_009380135.2,FASTA,Protein,4131,1309301,20,316.9,2781
GCF_009380155.1,FASTA,Protein,6316,2057648,23,325.8,4893
GCF_009380215.1,FASTA,Protein,6365,2209177,27,347.1,4923
GCF_009388985.1,FASTA,Protein,3894,1343886,31,345.1,2695
GCF_009389585.1,FASTA,Protein,4296,1235904,24,287.7,1563
GCF_009391885.1,FASTA,Protein,5631,1830540,24,325.1,5315
GCF_009428905.1,FASTA,Protein,3750,1040977,20,277.6,3894
GCF_009429125.1,FASTA,Protein,3725,1289321,31,346.1,2857
GCF_009429145.1,FASTA,Protein,9644,3193021,30,331.1,10981
GCF_009451885.1,FASTA,Protein,5224,1690050,24,323.5,3206
GCF_009455625.1,FASTA,Protein,3539,1171313,31,331,5614
GCF_009455685.1,FASTA,Protein,3629,1196029,30,329.6,3388
GCF_009466385.1,FASTA,Protein,3300,925928,24,280.6,1525
GCF_009467795.1,FASTA,Protein,1916,653220,24,340.9,1622
GCF_009467825.1,FASTA,Protein,4716,1703710,21,361.3,3378
GCF_009469585.1,FASTA,Protein,3754,1176746,21,313.5,2138
GCF_009469595.1,FASTA,Protein,4426,1450693,22,327.8,7127
GCF_009469605.1,FASTA,Protein,4490,1491447,20,332.2,6637
GCF_009469615.1,FASTA,Protein,3495,1119248,22,320.2,3183
GCF_009469695.1,FASTA,Protein,2892,942382,27,325.9,2960
GCF_009469765.1,FASTA,Protein,4114,1319807,25,320.8,2884
